Track Name @0 0ms C0 T0 [ control track ]
Text @0 0ms C0 T0 [ creator:  ]
Text @0 0ms C0 T0 [ GNU LilyPond 2.14.2            ]
Time Signature @0 0ms C0 T0 [ 4/4  metro: 18  32nds: 8 ]
Set Tempo @0 0ms C0 T0 [ mpqn: 750000 tempo: 80 ]
Program Change @0 0ms C0 T1 [ 0x28 ]
Instrument Name @0 0ms C0 T1 [ violin ]
Note On @16512 32250ms C2 T3 [ C-6(72) 90 ]
Note On @16704 32625ms C0 T1 [ D-5(62) 0 ]
Note On @16704 32625ms C0 T1 [ F-5(65) 90 ]
Note On @16896 33000ms C0 T1 [ F-5(65) 0 ]
Note On @16896 33000ms C0 T1 [ G-5(67) 90 ]
Note On @16896 33000ms C1 T2 [ D-5(62) 0 ]
Note On @16896 33000ms C1 T2 [ A-5(69) 0 ]
Note On @16896 33000ms C1 T2 [ F-5(65) 0 ]
Note On @16896 33000ms C1 T2 [ E-5(64) 90 ]
Note On @16896 33000ms C1 T2 [ G-5(67) 90 ]
Note On @16896 33000ms C1 T2 [ B-5(71) 90 ]
Note On @16896 33000ms C2 T3 [ C-6(72) 0 ]
Note On @16896 33000ms C2 T3 [ G-6(79) 90 ]
Note On @17088 33375ms C0 T1 [ G-5(67) 0 ]
Note On @17088 33375ms C0 T1 [ A-5(69) 90 ]
Note On @17280 33750ms C0 T1 [ A-5(69) 0 ]
Note On @17280 33750ms C0 T1 [ B-5(71) 90 ]
Note On @17280 33750ms C2 T3 [ G-6(79) 0 ]
Note On @17280 33750ms C2 T3 [ F-6(77) 90 ]
Note On @17472 34125ms C0 T1 [ B-5(71) 0 ]
Note On @17472 34125ms C0 T1 [ C-6(72) 90 ]
Note On @17664 34500ms C0 T1 [ C-6(72) 0 ]
Note On @17664 34500ms C0 T1 [ B-5(71) 90 ]
Note On @17664 34500ms C2 T3 [ F-6(77) 0 ]
Note On @17664 34500ms C2 T3 [ E-6(76) 90 ]
Note On @17856 34875ms C0 T1 [ B-5(71) 0 ]
Note On @17856 34875ms C0 T1 [ A-5(69) 90 ]
Note On @18048 35250ms C0 T1 [ A-5(69) 0 ]
Note On @18048 35250ms C0 T1 [ D-6(74) 90 ]
Note On @18048 35250ms C2 T3 [ E-6(76) 0 ]
Note On @18048 35250ms C2 T3 [ D-6(74) 90 ]
Note On @18432 36000ms C0 T1 [ D-6(74) 0 ]
Note On @18432 36000ms C0 T1 [ A-5(69) 90 ]
Note On @18432 36000ms C1 T2 [ E-5(64) 0 ]
Note On @18432 36000ms C1 T2 [ G-5(67) 0 ]
Note On @18432 36000ms C1 T2 [ B-5(71) 0 ]
Note On @18432 36000ms C1 T2 [ A-5(69) 90 ]
Note On @18432 36000ms C1 T2 [ C-6(72) 90 ]
Note On @18432 36000ms C1 T2 [ E-6(76) 90 ]
Note On @18432 36000ms C1 T2 [ G-6(79) 90 ]
Note On @18432 36000ms C2 T3 [ D-6(74) 0 ]
Note On @18432 36000ms C2 T3 [ A-5(69) 90 ]
Note On @18528 36187ms C0 T1 [ A-5(69) 0 ]
Note On @18528 36187ms C0 T1 [ D-6(74) 90 ]
Note On @18624 36375ms C0 T1 [ D-6(74) 0 ]
Note On @18624 36375ms C0 T1 [ C-6(72) 90 ]
Note On @18624 36375ms C2 T3 [ A-5(69) 0 ]
Note On @18624 36375ms C2 T3 [ C-6(72) 90 ]
Note On @18720 36562ms C0 T1 [ C-6(72) 0 ]
Note On @18720 36562ms C0 T1 [ B-5(71) 90 ]
Note On @18816 36750ms C0 T1 [ B-5(71) 0 ]
Note On @18816 36750ms C0 T1 [ C-6(72) 90 ]
Note On @18816 36750ms C2 T3 [ C-6(72) 0 ]
Note On @18816 36750ms C2 T3 [ E-6(76) 90 ]
Note On @18912 36937ms C0 T1 [ C-6(72) 0 ]
Note On @18912 36937ms C0 T1 [ B-5(71) 90 ]
Note On @19008 37125ms C0 T1 [ B-5(71) 0 ]
Note On @19008 37125ms C0 T1 [ A-5(69) 90 ]
Note On @19008 37125ms C2 T3 [ E-6(76) 0 ]
Note On @19008 37125ms C2 T3 [ D-6(74) 90 ]
Note On @19104 37312ms C0 T1 [ A-5(69) 0 ]
Note On @19104 37312ms C0 T1 [ E-6(76) 90 ]
Note On @19200 37500ms C0 T1 [ E-6(76) 0 ]
Note On @19200 37500ms C0 T1 [ D-6(74) 90 ]
Note On @19200 37500ms C2 T3 [ D-6(74) 0 ]
Note On @19200 37500ms C2 T3 [ C-6(72) 90 ]
Note On @19296 37687ms C0 T1 [ D-6(74) 0 ]
Note On @19296 37687ms C0 T1 [ C-6(72) 90 ]
Note On @19392 37875ms C0 T1 [ C-6(72) 0 ]
Note On @19392 37875ms C0 T1 [ B-5(71) 90 ]
Note On @19392 37875ms C2 T3 [ C-6(72) 0 ]
Note On @19392 37875ms C2 T3 [ B-5(71) 90 ]
Note On @19488 38062ms C0 T1 [ B-5(71) 0 ]
Note On @19488 38062ms C0 T1 [ A-5(69) 90 ]
Note On @19584 38250ms C0 T1 [ A-5(69) 0 ]
Note On @19584 38250ms C0 T1 [ C-6(72) 90 ]
Note On @19584 38250ms C2 T3 [ B-5(71) 0 ]
Note On @19584 38250ms C2 T3 [ A-5(69) 90 ]
Note On @19776 38625ms C2 T3 [ A-5(69) 0 ]
Note On @19776 38625ms C2 T3 [ C-6(72) 90 ]
Note On @19968 39000ms C0 T1 [ C-6(72) 0 ]
Note On @19968 39000ms C0 T1 [ C-6(72) 90 ]
Note On @19968 39000ms C1 T2 [ A-5(69) 0 ]
Note On @19968 39000ms C1 T2 [ C-6(72) 0 ]
Note On @19968 39000ms C1 T2 [ G-6(79) 0 ]
Note On @19968 39000ms C1 T2 [ E-6(76) 0 ]
Note On @19968 39000ms C1 T2 [ G-5(67) 90 ]
Note On @19968 39000ms C1 T2 [ C-5(60) 90 ]
Note On @19968 39000ms C1 T2 [ E-5(64) 90 ]
Note On @19968 39000ms C2 T3 [ C-6(72) 0 ]
Note On @19968 39000ms C2 T3 [ G-5(67) 90 ]
Note On @20064 39187ms C0 T1 [ C-6(72) 0 ]
Note On @20064 39187ms C0 T1 [ E-6(76) 90 ]
Note On @20160 39375ms C0 T1 [ E-6(76) 0 ]
Note On @20160 39375ms C0 T1 [ D-6(74) 90 ]
Note On @20160 39375ms C2 T3 [ G-5(67) 0 ]
Note On @20160 39375ms C2 T3 [ D-6(74) 90 ]
Note On @20256 39562ms C0 T1 [ D-6(74) 0 ]
Note On @20256 39562ms C0 T1 [ C-6(72) 90 ]
Note On @20352 39750ms C0 T1 [ C-6(72) 0 ]
Note On @20352 39750ms C0 T1 [ E-6(76) 90 ]
Note On @20352 39750ms C2 T3 [ D-6(74) 0 ]
Note On @20352 39750ms C2 T3 [ C-6(72) 90 ]
Note On @20448 39937ms C0 T1 [ E-6(76) 0 ]
Note On @20448 39937ms C0 T1 [ B-5(71) 90 ]
Note On @20544 40125ms C0 T1 [ B-5(71) 0 ]
Note On @20544 40125ms C0 T1 [ C-6(72) 90 ]
Note On @20544 40125ms C2 T3 [ C-6(72) 0 ]
Note On @20544 40125ms C2 T3 [ B-5(71) 90 ]
Note On @20640 40312ms C0 T1 [ C-6(72) 0 ]
Note On @20640 40312ms C0 T1 [ D-6(74) 90 ]
Note On @20736 40500ms C0 T1 [ D-6(74) 0 ]
Note On @20736 40500ms C0 T1 [ E-6(76) 90 ]
Note On @20736 40500ms C2 T3 [ B-5(71) 0 ]
Note On @20736 40500ms C2 T3 [ C-6(72) 90 ]
Note On @20832 40687ms C0 T1 [ E-6(76) 0 ]
Note On @20832 40687ms C0 T1 [ D-6(74) 90 ]
Note On @20928 40875ms C0 T1 [ D-6(74) 0 ]
Note On @20928 40875ms C0 T1 [ C-6(72) 90 ]
Note On @20928 40875ms C2 T3 [ C-6(72) 0 ]
Note On @20928 40875ms C2 T3 [ F-5(65) 90 ]
